Railroad,Region,Bridge Prefix,Number Divider,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago & North Western,Galena-Cuba City,Bridge , ,C&NW bridges are named with as ''Bridge [Number] [Suffix]'' where the number is assigned incrementally along the trackage.  Numbers are initially assigned integers with spurs being given a letter suffix appended to the number of the next-lowest bridge number before the junction.  Bridges added after the initial assignment are given a fractional suffix denoting their placement between two bridges.  An example is Bridge 1450 1/2 being added between Bridge 1450 and Bridge 1451.  Further additions work by placing another fraction halfway between the relevant bridge numbers (such as 1450 3/4 between 1450 1/2 and 1451).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
Bridge 1432,42.58717,-90.40626,B,P.B.,15.8,-1,,1,N,,,,,,,,,pre-1917,Removed,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1433,42.58235,-90.40214,B,P.B.,79,-1,,5,N,,,,,,,,,pre-1917,Rebuilt,8-11-1917,B,P.B.,91,-1,,7,N,,,,,,,,,8-11-1917,Retired In Place,1968,,,,,,,,,,,,,,,,,,
Bridge 1434,42.58036,-90.40054,B,P.B.,39.3,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,4-1941,B,P.B.,52,-1,,4,N,,,,,,,,,4-1941,Retired In Place,1968,,,,,,,,,,,,,,,,,,
Bridge 1435,42.576671,-90.395912,B,F.B.,72.7,-1,,5,N,,,,,,,,,pre-1917,Rebuilt,8-22-1917,B,P.B.,89.25,-1,,7,N,,,,,,,,,8/22/1917,Retired In Place,1968,,,,,,,,,,,,,,,,,,
Bridge 1436,42.5757,-90.39433,B,F.B.,77.3,-1,,5,N,,,,,,,,,pre-1917,Abandoned,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1436 1/2,42.57374,-90.39118,C,W.B.C.,24,0.8333333333,1.5,,,,,,,,,,,pre-1917,Abandoned,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1437,42.573425,-90.390835,B,P.B.,6.4,-1,,1,N,,,,,,,,,pre-1917,Rebuilt,7-1927,C,Conc. P.,32,4,4,,,,,,,,,,,9-1932,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1439,42.5725,-90.38992,B,I.B. Sp.,8.4,-1,,1,N,,,,,,,,,pre-1917,Abandoned,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1439 1/4,42.57242,-90.38985,B,O.H. Highway,300,-1,,-1,N,,,,,,,,,post-1917,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1440,42.57099,-90.38908,C,Conc. P.,24,2,2,,,,,,,,,,,pre-1917,Abandoned,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1441,42.56932,-90.38834,C,V.P.C.,156,3,3,,,,,,,,,,,pre-1917,Abandoned,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1441 1/8,42.56819,-90.38748,C,W.B.C.,23,2,3,,,,,,,,,,,pre-1917,Rebuilt,Unknown,C,Vit. Pipe,30,3,3,,,,,,,,,,,Unknown,Removed,12-26-1942,,,,,,,,,,,,,,,,,,
Bridge 1441 1/4,42.56706,-90.38646,C,W.B.C.,30,3,2,,,,,,,,,,,pre-1917,Abandoned,12-26-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1441 1/2,42.56592,-90.38544,C,W.B.C.,24,2,2,,,,,,,,,,,pre-1917,Rebuilt,8-1917,C,W.B.C.,30,2,3,,,,,,,,,,,8-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,
Bridge 1442,42.56438,-90.38455,B,P.R.S.,62,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1442 1/2,42.56221,-90.38399,C,C.I.P.,24,2,2,,,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1443,42.55923,-90.38432,B,T.P.G.,50,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1445,42.55041,-90.37979,B,P.R.S.,64,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1446,42.54989,-90.3795,B,P.B.,15,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1446 A,42.54885,-90.37903,C,W.B.C.,24,2,2,,,,,,,,,,,pre-1917,Rebuilt,8-30-1930,C,Conc. P.,24,2,2,,,,,,,,,,,8-30-1940,Removed,11-30-1942,,,,,,,,,,,,,,,,,,
Bridge 1446 3/4,42.5483,-90.37879,B,Str. Br.,16.6,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1447,42.54543,-90.37753,B,P.R.S.,64,-1,,1,L,I.B. Sp.,21.5,-1,1,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1448,42.54475,-90.37722,B,P.B.,15.9,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1449,42.5413,-90.3758,B,P.B.,15.6,-1,,1,N,,,,,,,,,pre-1917,Rebuilt,8-1931,C,Conc. P.,32,3,3,,,,,,,,,,,8-1931,Removed,11-30-1942,,,,,,,,,,,,,,,,,,
Bridge 1450,42.540064,-90.375658,B,P.R.S.,64,-1,,1,N,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1450 1/2,42.535809,-90.376592,C,W.B.C.,18,1.333,1.5,,,,,,,,,,,pre-1917,Removed,11-30-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1450 B,42.537928,-90.374373,B,I.B.,80,-1,,1,N,,,,,,,,,1917,Removed,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1450 C,42.537143,-90.370554,B,T.R.S.,80,-1,,1,H,,,,,P.B.,125,-1,7,1917,Removed,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1451,42.532987,-90.37749,B,P.B.,15.6,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1452,42.530087,-90.378563,B,I.B.,8.5,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1453,42.528865,-90.379038,B,P.B.,16,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1454,42.524838,-90.380649,B,P.B.,39.5,-1,,3,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1455,42.520434,-90.381838,B,P.R.S.,65.25,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1457,42.515294,-90.380762,B,P.B.,15.9,-1,,1,N,,,,,,,,,pre-1917,Removed,5-30-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1458,42.513591,-90.381276,C,W.B.C.,40,1.5,1.5,,,,,,,,,,,pre-1917,Removed,5/29/1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
